2012-11-04 22:08:18 Get First page
2012-11-04 22:08:18 DBO::species_names_by_page Duck 0 100
2012-11-04 22:08:18 DBO::species_names_by_page http://biocache.ala.org.au/ws/webportal/species?q=Duck&pageSize=100&start=0
name|commonName|guid|kingdom|family|count|rank
Dendrocygna (Leptotarsis) eytoni|Plumed Whistling-duck|urn:lsid:biodiversity.org.au:afd.taxon:c128e730-cfc2-4fd9-a9d1-db8ed9df83f6|ANIMALIA|ANATIDAE|11622|species
Dendrocygna (Leptotarsis) guttata|Spotted Whistling-duck|urn:lsid:biodiversity.org.au:afd.taxon:77925c4f-59cc-43a0-adbc-098030e65d74|ANIMALIA|ANATIDAE|149|species
Dendrocygna arborea|Black-billed Wood-duck|urn:lsid:catalogueoflife.org:taxon:d1cee045-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|1|species
Dendrocygna autumnalis|Black-bellied Whistling Duck|urn:lsid:catalogueoflife.org:taxon:d1cedc69-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|1|species
Dendrocygna bicolor|Fulvous Duck|urn:lsid:catalogueoflife.org:taxon:d1cede54-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|1|species
Dendrocygna javanica|Lesser Whistling Duck|urn:lsid:catalogueoflife.org:taxon:efed6c0e-29c1-102b-9a4a-00304854f820:col20110201|ANIMALIA|ANATIDAE|9|species
Dendrocygna viduata|White-faced Duck|urn:lsid:catalogueoflife.org:taxon:d1cee3f3-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|6|species
Euphorbiaceae||urn:lsid:biodiversity.org.au:apni.taxon:397575|Plantae|Euphorbiaceae|1|family
Fabaceae|Bean|urn:lsid:biodiversity.org.au:apni.taxon:397778|Plantae|Fabaceae|2|family
Hakea lissocarpha|Duck and Drake Bush|urn:lsid:biodiversity.org.au:apni.taxon:293725|Plantae|Proteaceae|869|species
Harpadon microchir|Smallfinned Bombay Duck|urn:lsid:catalogueoflife.org:taxon:21785fc2-60a7-102d-be47-00304854f810:col20110201|ANIMALIA|SYNODONTIDAE|8|species
Harpadon nehereus|Bombay Duck|urn:lsid:catalogueoflife.org:taxon:d1329aa4-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|SYNODONTIDAE|9|species
Harpadon translucens|Glassy Bombay Duck|urn:lsid:biodiversity.org.au:afd.taxon:80e2ee63-2c2f-4fab-b485-17fd2af6d23a|ANIMALIA|SYNODONTIDAE|65|species
Harpadon|Bombay Duck|urn:lsid:biodiversity.org.au:afd.taxon:b9336e37-ee0f-4fe4-939b-b0002e4c1c57|ANIMALIA|SYNODONTIDAE|3|genus
Ischaemum muticum|Awnless Duck-Beak|urn:lsid:biodiversity.org.au:apni.taxon:418593|Plantae|Poaceae|106|species
Ischaemum nativitatis|Christmas Island Duck-Beak|urn:lsid:biodiversity.org.au:apni.taxon:418557|Plantae|Poaceae|6|species
Lemna disperma|Common Duck-weed|urn:lsid:biodiversity.org.au:apni.taxon:344931|Plantae|Araceae|354|species
Lemnaceae|Duck weeds|urn:lsid:biodiversity.org.au:apni.taxon:405559|Plantae|Lemnaceae|10|family
Lepas anatifera|Duck Barnacle|urn:lsid:catalogueoflife.org:taxon:ef02061a-29c1-102b-9a4a-00304854f820:col20110201|ANIMALIA|LEPADIDAE|36|species
Lophonetta specularioides|Crested Duck|urn:lsid:catalogueoflife.org:taxon:f04b6386-29c1-102b-9a4a-00304854f820:col20110201|ANIMALIA|ANATIDAE|5|species
Machaerium aristulatum||urn:lsid:catalogueoflife.org:taxon:d15390c7-2dc5-11e0-98c6-2ce70255a436:col20110201|Plantae|Fabaceae|1|species
Machaerium inundatum||urn:lsid:catalogueoflife.org:taxon:e6819500-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|1|species
Machaerium lunatum||urn:lsid:catalogueoflife.org:taxon:d16cd780-2dc5-11e0-98c6-2ce70255a436:col20110201|Plantae|Fabaceae|5|species
Macrolobium arenarium||urn:lsid:catalogueoflife.org:taxon:e68222d6-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|1|species
Macrolobium huberianum||urn:lsid:catalogueoflife.org:taxon:e6823c12-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|1|species
Macrolobium microcalyx||urn:lsid:catalogueoflife.org:taxon:e6824932-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|3|species
Malacorhynchus membranaceus|Pink-eared Duck|urn:lsid:biodiversity.org.au:afd.taxon:4e56723b-dafc-449f-b028-8362cff1b8e1|ANIMALIA|ANATIDAE|20378|species
Malpighiaceae||urn:lsid:biodiversity.org.au:apni.taxon:397709|Plantae|Malpighiaceae|4|family
Mimosa annularis||urn:lsid:catalogueoflife.org:taxon:e691826c-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Nettastoma parviceps|Smallhead Duckbill Eel|urn:lsid:biodiversity.org.au:afd.taxon:1a8db978-41ab-4155-b32e-784f3ac4ed07|ANIMALIA|NETTASTOMATIDAE|1|species
ORNITHORHYNCHIDAE|Duck-billed Platypus|urn:lsid:biodiversity.org.au:afd.taxon:fbb14653-91c4-4cf7-bd4d-d38f92a64b86|ANIMALIA|ORNITHORHYNCHIDAE|7|family
Ormosia amazonica||urn:lsid:catalogueoflife.org:taxon:e1790aac-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Ornithorhynchus|Duck-billed Platypus|urn:lsid:biodiversity.org.au:afd.taxon:f05d7036-e74b-4468-858d-1f7d78470298|ANIMALIA|ORNITHORHYNCHIDAE|6|genus
Oxyura australis|Blue-billed Duck|urn:lsid:biodiversity.org.au:afd.taxon:29f1f7fc-853b-4bb8-bf78-c92c1d0e09e5|ANIMALIA|ANATIDAE|9404|species
Oxyura jamaicensis|Ruddy Duck|urn:lsid:catalogueoflife.org:taxon:d1cf3792-2dc5-11e0-98c6-2ce70255a436:col20110201|ANIMALIA|ANATIDAE|3|species
Paracaleana disjuncta|Black-beak Duck-orchid|urn:lsid:biodiversity.org.au:apni.taxon:278598|||31|species
Paracaleana dixonii|Sandplain Duck Orchid|urn:lsid:biodiversity.org.au:apni.taxon:300919|||11|species
Paracaleana minor|Small Duck Orchid|urn:lsid:biodiversity.org.au:apni.taxon:128909|||291|species
Paracaleana nigrita|Flying Duck|urn:lsid:biodiversity.org.au:apni.taxon:128970|||191|species
Paracaleana terminalis|Smooth-billed Duck Orchid|urn:lsid:biodiversity.org.au:apni.taxon:279395|||10|species
Paracaleana triens|Broad-billed Duck Orchid|urn:lsid:biodiversity.org.au:apni.taxon:279394|||23|species
Parkia igneiflora||urn:lsid:catalogueoflife.org:taxon:e178932e-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Peltogyne campestris||urn:lsid:catalogueoflife.org:taxon:e1786a3e-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|1|species
Peltogyne catingae||urn:lsid:catalogueoflife.org:taxon:e17867f0-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Pithecellobium|Blackbead|urn:lsid:biodiversity.org.au:apni.taxon:134373||Mimosaceae|1|genus
Poecilanthe effusa||urn:lsid:catalogueoflife.org:taxon:e6829e82-29c1-102b-9a4a-00304854f820:col20110201|Plantae|Fabaceae|2|species
Rhamnaceae||urn:lsid:biodiversity.org.au:apni.taxon:398005|Plantae|Rhamnaceae|2|family
Scholtzia sp. Duck Pool (M.E.Trudgen MET 5427)||urn:lsid:biodiversity.org.au:apni.taxon:438933|Plantae|Myrtaceae|11|species
Scutus (Scutus) unguis|The Northern Duck's Bill|urn:lsid:biodiversity.org.au:afd.taxon:53a9e1f6-41f1-44e4-82b5-3a450469bf88|ANIMALIA|FISSURELLIDAE|148|species
Senegalia altiscandens||urn:lsid:biodiversity.org.au:apni.taxon:305876||Mimosaceae|1|species
Senegalia multipinnata||urn:lsid:biodiversity.org.au:apni.taxon:305501||Mimosaceae|4|species
Stictonetta naevosa|Freckled Duck|urn:lsid:biodiversity.org.au:afd.taxon:0396e3cd-f34f-47b8-8238-2d4124ddd2d5|ANIMALIA|ANATIDAE|4880|species
Tachyeres leucocephalus|Chubut Steamer Duck|urn:lsid:catalogueoflife.org:taxon:eff37cac-29c1-102b-9a4a-00304854f820:col20110201|ANIMALIA|ANATIDAE|1|species
Tadorna (Radjah) radjah rufitergum|Burdekin Duck|urn:lsid:biodiversity.org.au:afd.taxon:427e0b6f-14f1-403a-8bfd-36ad51ebcf15|ANIMALIA|ANATIDAE|47|subspecies
Trinoton querquedulae|Large Duck Louse|urn:lsid:biodiversity.org.au:afd.taxon:f716629d-f75e-4e40-b10b-1bcb9b15d539|ANIMALIA|MENOPONIDAE|2|species
