scientific_name|lat|lng|occurrence_date
Acacia anceps|-33.21012|134.67304|1983-06-01
Acacia anceps|-35.01469|136.95685|2005-09-01
Acacia anceps|-31.97219|132.40448|2008-09-01
Acacia anceps|-31.96759|132.43791|2008-09-01
Acacia anceps|-31.95931|132.43711|2008-09-01
Acacia anceps|-31.93741|132.80192|2008-09-01
Acacia anceps|-31.93376|132.79166|2008-09-01
Acacia anceps|-31.93299|132.78221|2008-09-01
Acacia anceps|-31.93292|132.77162|2008-09-01
Acacia anceps|-32.44257|134.06724|1980--01
Acacia anceps|-32.44257|134.06724|1999-09-01
Acacia anceps|-32.2439|133.82937|1982--01
Acacia anceps|-32.2439|133.82937|1999-09-01
Acacia anceps|-31.99231|132.30645|1991-05-01
Acacia anceps|-32.00739|132.93816|1990-10-01
Acacia anceps|-31.95657|132.40289|1986-07-01
Acacia anceps|-31.95657|132.40289|1994-09-01
Acacia anceps|-32.01533|134.05817|1983-08-01
Acacia anceps|-31.95887|132.20482|1991-11-01
Acacia anceps|-31.92937|132.48403|1991-11-01
Acacia anceps|-31.92937|132.73589|1992-06-01
Acacia anceps|-31.91499|132.2038|1991-11-01
Acacia anceps|-31.88455|132.05252|1991-11-01
Acacia anceps|-31.97944|132.18916|1991-11-01
Acacia anceps|-31.8219|132.02789|1987-02-01
Acacia anceps|-31.90042|132.57724|1990-10-01
Acacia anceps|-32.2|133.74299|1992-06-01
Acacia anceps|-31.7099|133.55661|1984-06-01
Acacia anceps|-35.21495|136.83083|1982-11-01
Acacia anceps|-35.23078|136.83056|1982-11-01
Acacia anceps|-33.08131|134.28351|1979-06-01
Acacia anceps|-34.64128|135.3826|1983-06-01
Acacia anceps|-35.26258|136.91489|1994-09-01
Acacia anceps|-35.28162|136.89441|1994-09-01
Acacia anceps|-35.28916|136.89301|1994-09-01
Acacia anceps|-35.16541|137.3212|1994-09-01
Acacia anceps|-35.16308|136.91278|1994-09-01
Acacia anceps|-33.21445|134.60971|1992-12-01
Acacia anceps|-33.22394|134.61718|1992-12-01
Acacia anceps|-33.22395|134.62094|1992-12-01
Acacia anceps|-33.20179|134.60011|1993-12-01
Acacia anceps|-33.2099|134.59793|1993-11-01
Acacia anceps|-33.22177|134.64563|1993-12-01
Acacia anceps|-34.83837|135.94856|1983-01-01
Acacia anceps|-34.80185|136.00389|1983-01-01
Acacia anceps|-34.76144|135.86464|1983-01-01
