scientific_name|lat|lng|occurrence_date
Acacia hexaneura|-33.23889|136.78462|1985-11-01
Acacia hexaneura|-33.33143|136.53803|2002-10-01
Acacia hexaneura|-33.40598|136.59568|2002-10-01
Acacia hexaneura|-33.31226|136.6848|1990-11-01
Acacia hexaneura|-33.30831|136.62803|1990-05-01
Acacia hexaneura|-33.3976|136.82168|1992-02-01
Acacia hexaneura|-33.34165|136.66131|1991-07-01
Acacia hexaneura|-33.43021|136.70462|1991-07-01
Acacia hexaneura|-33.52211|136.87718|1991-10-01
Acacia hexaneura|-33.4875|136.75203|1992-02-01
Acacia hexaneura|-33.34617|136.68183|1991-10-01
Acacia hexaneura|-33.38856|136.76311|1985-07-01
Acacia hexaneura|-33.3742|136.81696|1989-10-01
Acacia hexaneura|-33.49251|136.71318|1990-07-01
Acacia hexaneura|-33.49251|136.71318|1987-10-01
Acacia hexaneura|-33.3756|136.55303|1990-10-01
Acacia hexaneura|-33.3742|136.81696|1998-11-01
Acacia hexaneura|-33.49251|136.71318|1998-11-01
Acacia hexaneura|-33.3756|136.55303|1998-11-01
Acacia hexaneura|-33.40012|136.70265|1992-12-01
