scientific_name|lat|lng|occurrence_date
Abelmoschus moschatus|-11.2231900004|132.27608|2005-02-01
Abelmoschus moschatus|-12.3130400004|136.8778|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-11.19887|132.05313|1993-04-01
Abelmoschus moschatus subsp. tuberosus|-11.22319|132.27608|2005-02-01
Abelmoschus moschatus subsp. tuberosus|-11.22608|131.89857|--01
Abelmoschus moschatus subsp. tuberosus|-11.23017|131.89778|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.23193|131.9012|1987-05-01
Abelmoschus moschatus subsp. tuberosus|-11.23749|131.97981|1993-04-01
Abelmoschus moschatus subsp. tuberosus|-11.2486|131.88453|1987-05-01
Abelmoschus moschatus subsp. tuberosus|-11.25415|132.31938|2005-02-01
Abelmoschus moschatus subsp. tuberosus|-11.25417|132.31907|2005-02-01
Abelmoschus moschatus subsp. tuberosus|-11.26255|131.87347|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.26255|131.87347|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.26792|131.86535|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.271|131.85746|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.3072|131.82125|2004-11-01
Abelmoschus moschatus subsp. tuberosus|-11.30947|131.78875|2004-11-01
Abelmoschus moschatus subsp. tuberosus|-11.4486|130.45121|1992-01-01
Abelmoschus moschatus subsp. tuberosus|-11.46527|130.50121|1987-02-01
Abelmoschus moschatus subsp. tuberosus|-11.4664|130.68093|--01
Abelmoschus moschatus subsp. tuberosus|-11.47549|132.60877|--01
Abelmoschus moschatus subsp. tuberosus|-11.48192|132.60119|1987-05-01
Abelmoschus moschatus subsp. tuberosus|-11.48819|132.61687|--01
Abelmoschus moschatus subsp. tuberosus|-11.50236|132.61697|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.50913|132.62604|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.51527|130.51788|1987-04-01
Abelmoschus moschatus subsp. tuberosus|-11.51528|130.53621|1995-12-01
Abelmoschus moschatus subsp. tuberosus|-11.52274|132.63349|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-11.5319|130.58451|1984-02-01
Abelmoschus moschatus subsp. tuberosus|-11.61238|130.29316|2000-08-01
Abelmoschus moschatus subsp. tuberosus|-11.64166|130.26991|2000-08-01
Abelmoschus moschatus subsp. tuberosus|-11.66526|133.13451|1984-02-01
Abelmoschus moschatus subsp. tuberosus|-11.76622|130.62834|2001-03-01
Abelmoschus moschatus subsp. tuberosus|-11.77257|130.61661|2001-03-01
Abelmoschus moschatus subsp. tuberosus|-11.80972|130.5875|2001-03-01
Abelmoschus moschatus subsp. tuberosus|-11.8319|136.46783|1996-05-01
Abelmoschus moschatus subsp. tuberosus|-11.8486|130.86788|1992-02-01
Abelmoschus moschatus subsp. tuberosus|-11.88193|130.90121|1988-12-01
Abelmoschus moschatus subsp. tuberosus|-11.89604|130.92676|--01
Abelmoschus moschatus subsp. tuberosus|-11.96525|135.61783|1975-07-01
Abelmoschus moschatus subsp. tuberosus|-12.06525|134.8845|1987-03-01
Abelmoschus moschatus subsp. tuberosus|-12.16524|136.78446|1982-02-01
Abelmoschus moschatus subsp. tuberosus|-12.16525|134.45118|1992-11-01
Abelmoschus moschatus subsp. tuberosus|-12.18306|136.77861|1997-02-01
Abelmoschus moschatus subsp. tuberosus|-12.21797|136.86366|1974-02-01
Abelmoschus moschatus subsp. tuberosus|-12.2333|134.55868|1996-06-01
Abelmoschus moschatus subsp. tuberosus|-12.245|134.82792|1998-09-01
Abelmoschus moschatus subsp. tuberosus|-12.24967|136.88926|1974-01-01
Abelmoschus moschatus subsp. tuberosus|-12.25002|136.8436|2007-05-01
Abelmoschus moschatus subsp. tuberosus|-12.29055|136.87067|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-12.29088|136.86992|2005-05-01
Abelmoschus moschatus subsp. tuberosus|-12.29088|136.86992|2006-07-01
Abelmoschus moschatus subsp. tuberosus|-12.29088|136.86992|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-12.31289|136.8778|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-12.31304|136.8778|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-12.31579|136.81082|2006-05-01
Abelmoschus moschatus subsp. tuberosus|-12.31702|136.82069|2006-05-01
Abelmoschus moschatus subsp. tuberosus|-12.31702|136.82069|2006-11-01
Abelmoschus moschatus subsp. tuberosus|-12.31951|136.87703|2006-07-01
Abelmoschus moschatus subsp. tuberosus|-12.31951|136.87703|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-12.31982|136.79237|2006-05-01
Abelmoschus moschatus subsp. tuberosus|-12.3198|136.79631|2006-05-01
Abelmoschus moschatus subsp. tuberosus|-12.32169|136.87244|2006-03-01
Abelmoschus moschatus subsp. tuberosus|-12.32265|136.87915|2005-05-01
Abelmoschus moschatus subsp. tuberosus|-12.32265|136.87915|2008-06-01
Abelmoschus moschatus subsp. tuberosus|-12.32517|136.82126|2006-03-01
Abelmoschus moschatus subsp. tuberosus|-12.34859|133.28452|1973-02-01
Abelmoschus moschatus subsp. tuberosus|-12.38718|136.82976|1994-02-01
Abelmoschus moschatus subsp. tuberosus|-12.38941|136.83643|1995-03-01
Abelmoschus moschatus subsp. tuberosus|-12.3981|130.9319|1998-11-01
Abelmoschus moschatus subsp. tuberosus|-12.39859|130.91788|1995-12-01
Abelmoschus moschatus subsp. tuberosus|-12.39859|132.31787|1988-02-01
Abelmoschus moschatus subsp. tuberosus|-12.3986|130.86788|1987-03-01
Abelmoschus moschatus subsp. tuberosus|-12.41466|133.24047|1992-02-01
Abelmoschus moschatus subsp. tuberosus|-12.41527|130.83454|1966-03-01
Abelmoschus moschatus subsp. tuberosus|-12.44859|133.28452|1973-02-01
Abelmoschus moschatus subsp. tuberosus|-12.45743|133.28617|1994-03-01
Abelmoschus moschatus subsp. tuberosus|-12.46667|133.495|2000-03-01
Abelmoschus moschatus subsp. tuberosus|-12.49858|135.20117|1987-11-01
Abelmoschus moschatus subsp. tuberosus|-12.49859|133.35119|1989-02-01
Abelmoschus moschatus subsp. tuberosus|-12.49948|131.36398|--01
Abelmoschus moschatus subsp. tuberosus|-12.53192|133.15119|1973-02-01
Abelmoschus moschatus subsp. tuberosus|-12.53999|130.97981|1958-01-01
Abelmoschus moschatus subsp. tuberosus|-12.56525|135.90116|1987-12-01
Abelmoschus moschatus subsp. tuberosus|-12.59528|131.36578|--01
Abelmoschus moschatus subsp. tuberosus|-12.59857|135.73447|1987-12-01
Abelmoschus moschatus subsp. tuberosus|-12.61524|135.85116|1987-12-01
Abelmoschus moschatus subsp. tuberosus|-12.63193|131.25121|1964-01-01
Abelmoschus moschatus subsp. tuberosus|-12.63193|131.25121|1966-05-01
Abelmoschus moschatus subsp. tuberosus|-12.6367|135.20378|1999-06-01
Abelmoschus moschatus subsp. tuberosus|-12.64859|131.33454|1961-03-01
Abelmoschus moschatus subsp. tuberosus|-12.69859|131.00121|1974-12-01
Abelmoschus moschatus subsp. tuberosus|-12.69859|131.00121|1977-02-01
Abelmoschus moschatus subsp. tuberosus|-12.69889|133.49917|2000-03-01
Abelmoschus moschatus subsp. tuberosus|-12.74858|136.11783|1985-09-01
Abelmoschus moschatus subsp. tuberosus|-12.7986|131.38454|1967-03-01
Abelmoschus moschatus subsp. tuberosus|-12.83193|131.16788|1958-01-01
Abelmoschus moschatus subsp. tuberosus|-12.89579|132.4179|1982-03-01
Abelmoschus moschatus subsp. tuberosus|-12.90681|132.19499|1995-04-01
Abelmoschus moschatus subsp. tuberosus|-13.01526|131.11788|1963-01-01
Abelmoschus moschatus subsp. tuberosus|-13.01526|131.11788|1971-02-01
Abelmoschus moschatus subsp. tuberosus|-13.05043|132.16348|1995-04-01
Abelmoschus moschatus subsp. tuberosus|-13.05043|132.16348|2000-04-01
Abelmoschus moschatus subsp. tuberosus|-13.06527|131.10121|1991-03-01
Abelmoschus moschatus subsp. tuberosus|-13.08192|131.08454|1963-03-01
Abelmoschus moschatus subsp. tuberosus|-13.0986|130.45122|1973-01-01
Abelmoschus moschatus subsp. tuberosus|-13.10678|132.45294|1991-03-01
Abelmoschus moschatus subsp. tuberosus|-13.16218|136.37284|1993-05-01
Abelmoschus moschatus subsp. tuberosus|-13.16526|131.10121|1962-12-01
Abelmoschus moschatus subsp. tuberosus|-13.26373|130.96529|1996-04-01
Abelmoschus moschatus subsp. tuberosus|-13.26373|130.96529|2001-04-01
Abelmoschus moschatus subsp. tuberosus|-13.26373|130.96529|2006-04-01
Abelmoschus moschatus subsp. tuberosus|-13.26387|130.96455|1996-03-01
Abelmoschus moschatus subsp. tuberosus|-13.28192|130.60122|1989-10-01
Abelmoschus moschatus subsp. tuberosus|-13.32666|130.33067|1994-02-01
Abelmoschus moschatus subsp. tuberosus|-13.48193|130.70121|1968-05-01
Abelmoschus moschatus subsp. tuberosus|-13.4986|131.50121|1961-03-01
Abelmoschus moschatus subsp. tuberosus|-13.50575|130.98034|2007-07-01
Abelmoschus moschatus subsp. tuberosus|-13.53805|130.98549|2007-04-01
Abelmoschus moschatus subsp. tuberosus|-13.56348|132.49708|--01
Abelmoschus moschatus subsp. tuberosus|-13.56359|131.12553|2007-06-01
Abelmoschus moschatus subsp. tuberosus|-13.56526|132.68453|1973-02-01
Abelmoschus moschatus subsp. tuberosus|-13.56528|132.7179|1995-01-01
Abelmoschus moschatus subsp. tuberosus|-13.56549|132.70457|1995-04-01
Abelmoschus moschatus subsp. tuberosus|-13.56549|132.70457|2000-04-01
Abelmoschus moschatus subsp. tuberosus|-13.56549|132.70457|2005-04-01
Abelmoschus moschatus subsp. tuberosus|-13.56701|131.15638|2007-06-01
Abelmoschus moschatus subsp. tuberosus|-13.58192|132.13454|1969-01-01
Abelmoschus moschatus subsp. tuberosus|-13.58217|131.40063|2007-07-01
Abelmoschus moschatus subsp. tuberosus|-13.59859|132.21788|1969-04-01
Abelmoschus moschatus subsp. tuberosus|-13.5986|131.20122|1967-04-01
Abelmoschus moschatus subsp. tuberosus|-13.73178|130.97873|2007-04-01
