scientific_name|lat|lng|occurrence_date
Acacia estrophiolata|-26.09192|132.44919|1997-10-01
Acacia estrophiolata|-26.17369|132.45743|1997-10-01
Acacia estrophiolata|-26.17936|132.53072|1997-10-01
Acacia estrophiolata|-26.52857|132.94311|1998-08-01
Acacia estrophiolata|-26.63863|132.95986|1998-08-01
Acacia estrophiolata|-26.92894|133.2015|2000-05-01
Acacia estrophiolata|-27.14891|134.9027|1999-09-01
Acacia estrophiolata|-26.04126|133.60729|2008-05-01
Acacia estrophiolata|-26.68699|133.41464|2008-05-01
Acacia estrophiolata|-26.69669|133.38773|2008-05-01
Acacia estrophiolata|-26.33344|133.21349|2008-05-01
Acacia estrophiolata|-26.33195|133.22021|2008-05-01
Acacia estrophiolata|-26.16927|130.13105|1997-06-01
Acacia estrophiolata|-26.17047|130.14139|1997-06-01
Acacia estrophiolata|-26.17191|130.15077|1997-06-01
Acacia estrophiolata|-26.30817|130.1643|1997-06-01
Acacia estrophiolata|-26.20542|130.20658|1997-06-01
Acacia estrophiolata|-26.16959|130.2792|2000-05-01
Acacia estrophiolata|-26.39805|131.55716|2000-05-01
Acacia estrophiolata|-26.48927|131.84862|2004-03-01
Acacia estrophiolata|-26.76596|132.03423|1996-10-01
Acacia estrophiolata|-27.12845|132.85747|1993-03-01
Acacia estrophiolata|-26.34457|130.09126|1994-05-01
Acacia estrophiolata|-26.29551|130.1531|1994-05-01
Acacia estrophiolata|-26.32068|130.13361|1994-05-01
Acacia estrophiolata|-26.24545|130.11346|1994-05-01
Acacia estrophiolata|-26.10384|132.13631|1994-10-01
Acacia estrophiolata|-26.13402|131.9593|1994-10-01
Acacia estrophiolata|-26.13257|131.95097|1994-10-01
Acacia estrophiolata|-26.18547|131.8827|1994-10-01
Acacia estrophiolata|-26.11892|132.52113|1997-10-01
Acacia estrophiolata|-26.17012|132.54907|1997-10-01
Acacia estrophiolata|-26.20322|132.32967|1997-10-01
Acacia estrophiolata|-26.91149|132.95206|1998-10-01
Acacia estrophiolata|-26.1569|133.61015|2008-05-01
Acacia estrophiolata|-26.31713|130.15993|1993-05-01
Acacia estrophiolata|-26.17718|130.17214|1991-05-01
Acacia estrophiolata|-26.02346|130.20059|1991-05-01
