scientific_name|lat|lng|occurrence_date
Acacia imbricata|-34.45646|135.69217|2000-10-01
Acacia imbricata|-34.39583|135.70954|2000-10-01
Acacia imbricata|-34.3757|135.71169|2000-10-01
Acacia imbricata|-34.30868|135.71572|2000-10-01
Acacia imbricata|-34.30536|135.71571|2000-10-01
Acacia imbricata|-34.30822|135.71574|2000-10-01
Acacia imbricata|-34.29954|135.71651|2000-10-01
Acacia imbricata|-34.29733|135.717|2000-10-01
Acacia imbricata|-34.29543|135.71741|2000-10-01
Acacia imbricata|-34.29304|135.7179|2000-10-01
Acacia imbricata|-34.28961|135.71864|2000-10-01
Acacia imbricata|-34.28933|135.7187|2000-10-01
Acacia imbricata|-34.28898|135.71878|2000-10-01
Acacia imbricata|-34.52037|135.75811|1984-10-01
Acacia imbricata|-34.51854|135.77068|1984-10-01
Acacia imbricata|-34.49877|135.78118|1984-10-01
Acacia imbricata|-34.47317|135.78275|1985-05-01
Acacia imbricata|-34.42394|135.78719|1984-02-01
Acacia imbricata|-34.46267|135.79206|1985-05-01
Acacia imbricata|-34.41763|135.79228|1984-02-01
Acacia imbricata|-34.42258|135.79981|1984-02-01
Acacia imbricata|-34.46259|135.80345|1985-05-01
Acacia imbricata|-34.2603|135.80357|2000-10-01
Acacia imbricata|-34.20934|135.93842|1985-05-01
Acacia imbricata|-34.15216|135.94737|2000-10-01
Acacia imbricata|-34.15239|135.94839|2000-10-01
Acacia imbricata|-34.15294|135.95429|2000-10-01
Acacia imbricata|-34.15308|135.95461|2000-10-01
Acacia imbricata|-34.15324|135.95863|2000-10-01
Acacia imbricata|-34.1534|135.97413|2000-10-01
Acacia imbricata|-34.24135|136.00081|2002-01-01
Acacia imbricata|-34.16668|136.00101|2000-10-01
Acacia imbricata|-34.168|136.00425|2000-10-01
Acacia imbricata|-34.39502|136.0078|1986-06-01
Acacia imbricata|-34.38321|136.01623|1986-06-01
Acacia imbricata|-34.12584|136.02875|2002-01-01
Acacia imbricata|-34.1527|136.03582|2002-01-01
Acacia imbricata|-34.44507|135.76321|1985-05-01
Acacia imbricata|-34.44992|135.80866|1985-05-01
Acacia imbricata|-34.36616|135.89139|1988-09-01
Acacia imbricata|-34.41122|135.87733|1983-08-01
Acacia imbricata|-34.33389|135.9487|1991-10-01
Acacia imbricata|-34.3972|135.79078|1991-04-01
Acacia imbricata|-34.394|135.88364|1988-09-01
Acacia imbricata|-34.48215|135.81795|1986-05-01
Acacia imbricata|-34.32514|135.97401|1985-09-01
Acacia imbricata|-34.3972|135.79078|1984-07-01
Acacia imbricata|-34.34081|135.9598|1985-09-01
Acacia imbricata|-34.32501|135.96309|1985-09-01
Acacia imbricata|-34.13457|135.94997|1995-10-01
Acacia imbricata|-34.3267|135.97441|1995-10-01
Acacia imbricata|-34.4187|135.88296|2004-09-01
Acacia imbricata|-34.31887|135.96309|2004-09-01
Acacia imbricata|-34.32045|135.96489|2004-09-01
Acacia imbricata|-34.3002|135.97443|2004-09-01
Acacia imbricata|-34.25213|135.93803|2004-09-01
Acacia imbricata|-34.51263|135.79441|2007-09-01
Acacia imbricata|-34.4187|135.88296|2007-09-01
Acacia imbricata|-34.31887|135.96309|2007-09-01
Acacia imbricata|-34.32045|135.96489|2007-09-01
Acacia imbricata|-34.3002|135.97443|2007-09-01
Acacia imbricata|-34.25213|135.93803|2007-09-01
