scientific_name|lat|lng|occurrence_date
Acacia aneura|-27.19686111|116.30291667|2008-08-01
Acacia aneura var. major|-29.07018825|116.92312118|2005-09-01
Acacia aneura var. major|-29.07172574|116.92132963|2005-09-01
Acacia aneura var. major|-29.18970941|116.77681875|2005-09-01
Acacia aneura var. major|-29.18731529|116.77252805|2005-09-01
Acacia aneura var. major|-29.18697808|116.77133531|2005-09-01
Acacia aneura var. major|-29.18503273|116.76532523|2005-09-01
Acacia aneura var. major|-29.17987031|116.77493307|2005-09-01
Acacia aneura var. major|-29.17963503|116.77257968|2005-09-01
Acacia aneura var. major|-29.07535846|116.86052839|2005-09-01
Acacia aneura var. major|-29.13994395|116.88429897|2005-09-01
Acacia aneura var. major|-29.13766466|116.90709917|2005-09-01
Acacia aneura var. major|-29.13691239|116.90664915|2005-09-01
Acacia aneura var. major|-29.14412845|116.90749463|2005-09-01
Acacia aneura var. major|-29.12984594|116.9057325|2005-09-01
Acacia aneura var. major|-29.16219372|116.90970343|2005-09-01
Acacia aneura var. major|-29.13972167|116.87891628|2005-09-01
Acacia aneura|-29.94180262|119.3760982|2005-09-01
Acacia aneura|-29.96373732|119.4041363|2005-09-01
Acacia aneura|-29.96261616|119.40329086|2005-09-01
Acacia aneura|-29.94520174|119.34701043|2005-09-01
Acacia aneura|-29.87674374|119.40105218|2005-09-01
Acacia aneura|-29.87353433|119.40044738|2005-09-01
Acacia aneura|-29.87334215|119.40059798|2005-09-01
Acacia aneura|-29.87532199|119.39837861|2005-09-01
Acacia aneura|-27.33269444|115.97166667|2008-08-01
Acacia aneura|-28.73219898|116.44159902|2006-10-01
Acacia aneura|-27.30805556|116.0075|2008-08-01
Acacia aneura var. aneura|-28.72010272|116.4376203|2006-10-01
Acacia aneura var. aneura|-28.51166658|116.47002365|2006-10-01
Acacia aneura var. aneura|-28.80798664|116.41526408|2006-09-01
Acacia aneura var. argentea|-28.728247|116.4328924|2006-10-01
Acacia aneura var. tenuis|-28.73219898|116.44159902|2006-10-01
Acacia aneura var. tenuis|-28.70017231|116.25803132|2006-09-01
Acacia aneura var. tenuis|-28.76079015|116.42364884|2006-09-01
Acacia aneura var. microcarpa|-28.73236511|116.44281733|2006-10-01
Acacia aneura var. microcarpa|-28.72010272|116.4376203|2006-10-01
Acacia aneura var. microcarpa|-28.71933284|116.4391515|2006-10-01
Acacia aneura var. microcarpa|-28.51464392|116.4690718|2006-10-01
Acacia aneura var. microcarpa|-28.76569726|116.42193474|2006-09-01
Acacia aneura var. microcarpa|-28.76795132|116.42406098|2006-09-01
Acacia aneura|-27.17247222|116.28663889|2008-08-01
Acacia aneura|-30.34833365|119.70111121|1995-07-01
Acacia aneura|-30.36616486|119.59433571|1995-07-01
Acacia aneura|-30.36311237|119.63405163|1995-09-01
Acacia aneura|-30.39952943|119.63000259|1995-09-01
Acacia aneura|-27.18155556|116.29730556|2008-08-01
Acacia aneura var. microcarpa|-27.33097222|115.97177778|2008-08-01
Acacia aneura var. microcarpa|-27.30827778|116.00163889|2008-08-01
Acacia aneura var. microcarpa|-27.18225|116.29961111|2008-08-01
Acacia aneura var. microcarpa|-27.19838889|116.30380556|2008-08-01
Acacia aneura var. microcarpa|-27.19811111|116.30652778|2008-08-01
Acacia aneura var. microcarpa|-27.19513889|116.30797222|2008-08-01
Acacia aneura var. microcarpa|-27.20575|116.31236111|2008-08-01
Acacia aneura var. microcarpa|-27.20797222|116.30988889|2008-08-01
Acacia aneura var. microcarpa|-27.20930556|116.31252778|2008-08-01
Acacia aneura var. microcarpa|-27.25677778|116.06025|2008-08-01
Acacia aneura var. microcarpa|-27.2585|116.06225|2008-08-01
Acacia aneura var. microcarpa|-27.25288889|116.06238889|2008-08-01
Acacia aneura var. microcarpa|-27.25377778|116.0655|2008-08-01
Acacia aneura var. fuliginea|-27.21669444|116.30594444|2008-08-01
Acacia aneura|-27.21991667|116.3205|2008-08-01
Acacia aneura var. aneura|-26.65297301|119.9411653|2006-08-01
Acacia aneura var. aneura|-26.69461951|119.94469123|2006-08-01
Acacia aneura var. aneura|-26.69736768|119.9437061|2006-08-01
Acacia aneura var. aneura|-26.7207179|119.96728566|2006-08-01
