scientific_name|lat|lng|occurrence_date
Acacia dunnii|-15.46666667|128.10833333|--01
Acacia dunnii|-16.1|131.11666667|--01
Acacia dunnii|-11.90959|133.18816|--01
Acacia dunnii|-12.23658|134.36916|--01
Acacia dunnii|-12.28517|136.84833|2008-06-01
Acacia dunnii|-12.38458|134.06916|--01
Acacia dunnii|-12.65558|134.37615|--01
Acacia dunnii|-12.68698|131.74107|--01
Acacia dunnii|-14.0334|130.42641|1992-05-01
Acacia dunnii|-15.02857|133.63979|--01
Acacia dunnii|-15.22027|129.66846|1996-08-01
Acacia dunnii|-15.22821|130.43155|--01
Acacia dunnii|-15.31077|129.57013|2007-04-01
Acacia dunnii|-15.312|129.5755|2007-04-01
Acacia dunnii|-15.31429|129.94463|2009-03-01
Acacia dunnii|-15.35192|129.72402|1996-08-01
Acacia dunnii|-15.3949|130.6769|--01
Acacia dunnii|-15.4117|129.65859|2008-06-01
Acacia dunnii|-15.41724|129.41653|2007-04-01
Acacia dunnii|-15.4396|130.6458|2002-03-01
Acacia dunnii|-15.4583|129.589|2006-03-01
Acacia dunnii|-15.46613|129.79732|2008-05-01
Acacia dunnii|-15.46666|129.34013|1996-08-01
Acacia dunnii|-15.51564|129.68098|2006-06-01
Acacia dunnii|-15.52233|129.64166|2008-05-01
Acacia dunnii|-15.53224|129.63616|2008-05-01
Acacia dunnii|-15.54859|130.60123|1989-03-01
Acacia dunnii|-15.5778|130.44848|--01
Acacia dunnii|-15.58193|130.31791|1965-04-01
Acacia dunnii|-15.58193|130.31791|1965-07-01
Acacia dunnii|-15.58193|130.31791|1968-05-01
Acacia dunnii|-15.5835|129.65796|2008-05-01
Acacia dunnii|-15.58999|129.47558|2008-05-01
Acacia dunnii|-15.60699|130.38301|--01
Acacia dunnii|-15.62944|129.50528|2000-12-01
Acacia dunnii|-15.62972|129.50583|2000-12-01
Acacia dunnii|-15.63066|129.53542|2006-03-01
Acacia dunnii|-15.63438|129.48889|2009-03-01
Acacia dunnii|-15.6486|130.4572|1998-03-01
Acacia dunnii|-15.66469|130.46141|--01
Acacia dunnii|-15.66526|130.33456|1996-10-01
Acacia dunnii|-15.66526|130.45123|1990-04-01
Acacia dunnii|-15.75111|129.035|2000-12-01
Acacia dunnii|-15.83193|129.10125|1981-03-01
Acacia dunnii|-15.83525|130.26595|1996-04-01
Acacia dunnii|-15.84253|129.11635|2002-08-01
Acacia dunnii|-15.84859|130.03457|1992-11-01
Acacia dunnii|-15.8736|129.05568|1995-06-01
Acacia dunnii|-16.03193|129.30124|1975-09-01
Acacia dunnii|-16.23298|129.89362|--01
Acacia dunnii|-16.27546|130.70636|--01
Acacia dunnii|-16.27681|130.70461|--01
Acacia dunnii|-16.31839|129.85962|--01
Acacia dunnii|-16.36628|130.01102|--01
Acacia dunnii|-16.45192|130.30957|1996-04-01
Acacia dunnii|-16.65919|130.10143|--01
Acacia dunnii|-16.77984|130.14704|1998-06-01
Acacia dunnii|-16.78196|130.14655|1998-06-01
Acacia dunnii|-16.78628|130.15333|--01
Acacia dunnii|-16.82909|130.18098|1998-06-01
Acacia dunnii|-16.91418|130.13637|2007-08-01
Acacia dunnii|-16.4431|130.1344|1996-04-01
Acacia dunnii|-16.2167|130.2319|1996-04-01
