scientific_name|lat|lng|occurrence_date
Acacia gilesiana|-29.33245|130.19565|2005-04-01
Acacia gilesiana|-29.24473|130.21599|2002-04-01
Acacia gilesiana|-29.33523|130.21992|2005-04-01
Acacia gilesiana|-29.08632|130.2694|2003-08-01
Acacia gilesiana|-28.77187|130.51105|2003-08-01
Acacia gilesiana|-29.40672|130.64524|2002-05-01
Acacia gilesiana|-29.14216|129.96064|1990--01
Acacia gilesiana|-29.55556|130.13962|1987-10-01
Acacia gilesiana|-29.53115|130.14592|1987-10-01
Acacia gilesiana|-29.41567|130.7154|2001-05-01
Acacia gilesiana|-29.4158|130.69229|2001-05-01
Acacia gilesiana|-28.56316|130.79312|2002-04-01
Acacia gilesiana|-28.56886|130.8774|2002-04-01
Acacia gilesiana|-28.57261|130.92399|2002-04-01
Acacia gilesiana|-28.83228|130.48535|2002-04-01
Acacia gilesiana|-28.99418|130.36527|2002-04-01
Acacia gilesiana|-29.0232|130.31057|2002-04-01
Acacia gilesiana|-29.05918|130.29613|2002-04-01
Acacia gilesiana|-30.25431|131.55138|1987-10-01
Acacia gilesiana|-30.24893|131.54724|1987-10-01
Acacia gilesiana|-30.22172|131.52472|1987-10-01
Acacia gilesiana|-30.22175|131.52316|1987-10-01
Acacia gilesiana|-29.59631|130.13778|1987-10-01
Acacia gilesiana|-29.55645|130.1404|1987-10-01
Acacia gilesiana|-29.53052|130.14089|1987-10-01
Acacia gilesiana|-29.52626|130.13985|1987-10-01
Acacia gilesiana|-29.50545|130.15423|1987-10-01
Acacia gilesiana|-29.50355|130.15792|1987-10-01
Acacia gilesiana|-29.49172|130.16554|1987-10-01
Acacia gilesiana|-29.49125|130.17067|1987-10-01
Acacia gilesiana|-29.44466|130.176|1987-10-01
Acacia gilesiana|-29.08627|130.26894|2004-05-01
Acacia gilesiana|-29.19606|130.22208|2004-05-01
Acacia gilesiana|-29.22153|130.21822|2004-05-01
Acacia gilesiana|-29.26379|130.2135|2004-05-01
Acacia gilesiana|-29.28654|130.20835|2004-05-01
Acacia gilesiana|-29.34194|130.25497|2004-05-01
Acacia gilesiana|-29.40208|130.18534|2004-05-01
Acacia gilesiana|-29.33513|130.18393|2005-04-01
Acacia gilesiana|-29.36863|130.05046|2005-04-01
Acacia gilesiana|-29.4023|129.90588|2005-04-01
Acacia gilesiana|-29.41219|129.84006|2005-04-01
Acacia gilesiana|-29.4869|129.41539|2005-04-01
Acacia gilesiana|-29.44925|129.56572|2005-04-01
Acacia gilesiana|-29.50225|129.32378|2005-04-01
Acacia gilesiana|-30.19947|132.49676|2005-10-01
Acacia gilesiana|-28.50071|129.04009|2006-10-01
Acacia gilesiana|-28.50248|129.08039|2006-10-01
Acacia gilesiana|-28.50827|129.21035|2006-10-01
Acacia gilesiana|-28.50869|129.2418|2006-10-01
Acacia gilesiana|-28.50676|129.26193|2006-10-01
Acacia gilesiana|-28.49789|129.32057|2006-10-01
Acacia gilesiana|-29.88715|132.08045|2007-09-01
Acacia gilesiana|-29.89822|132.0033|2007-09-01
Acacia gilesiana|-28.71375|130.55441|2008-09-01
Acacia gilesiana|-28.50744|129.09936|2008-09-01
Acacia gilesiana|-30.18333333|135.66666667|--01
